country_name,country_code,GDP_growth,residual,fitted,leverage,standardized_residual,cooks_distance,high_leverage_threshold,high_cooks_distance_threshold,high_leverage,large_standardized_residual,high_cooks_distance
Haiti,HTI,1.28301364255352,-2.3301732060000218,3.613186848553542,0.07632542098658844,-1.5883172416514262,0.026057619057445563,0.13114754098360656,0.03278688524590164,False,False,False
Azerbaijan,AZE,1.8068467826497199,-2.442193189187066,4.249039971836786,0.0630788170099176,-1.652863649400787,0.022991354188829097,0.13114754098360656,0.03278688524590164,False,False,False
Belarus,BLR,1.84295079003052,-3.0593137404041064,4.902264530434627,0.041856009069944834,-2.047468217519968,0.022891349029787098,0.13114754098360656,0.03278688524590164,False,True,False
Greece,GRC,-1.9826665100766099,-2.839472763583429,0.8568062535068195,0.047461431368558224,-1.90592130335268,0.022624459054346093,0.13114754098360656,0.03278688524590164,False,False,False
Cuba,CUB,2.084856239033859,1.4197553173912,0.6651009216426591,0.1469236040539356,1.006996782746898,0.021830808834693457,0.13114754098360656,0.03278688524590164,True,False,False
Burkina Faso,BFA,6.02174159806603,1.4644447094304613,4.557296888635569,0.13577144251431508,1.0319703385862231,0.020913381589637195,0.13114754098360656,0.03278688524590164,True,False,False
Lao PDR,LAO,7.312104837052218,2.5175650214143594,4.794539815637859,0.052745309526694574,1.694555727020911,0.019986594668838856,0.13114754098360656,0.03278688524590164,False,False,False
Mauritania,MRT,4.050963511998161,-2.089767452615269,6.14073096461343,0.06972564425346342,-1.419387506257102,0.018875282308288683,0.13114754098360656,0.03278688524590164,False,False,False
Ghana,GHA,6.77393625512622,2.1861023537269064,4.587833901399313,0.06429565023331288,1.4805044241293241,0.018826620850763524,0.13114754098360656,0.03278688524590164,False,False,False
Cambodia,KHM,7.57724025914943,1.4370081854963415,6.140232073653088,0.11399250222417058,1.000113029428274,0.01608596329340191,0.13114754098360656,0.03278688524590164,False,False,False
Botswana,BWA,4.727518817478088,1.698171170264117,3.029347647213971,0.07346861222647373,1.155739448852471,0.013239500113140401,0.13114754098360656,0.03278688524590164,False,False,False
Uzbekistan,UZB,6.6280460220180695,1.1061845016584586,5.521861520359611,0.1419697988960929,0.7823207041943312,0.012658232075471738,0.13114754098360656,0.03278688524590164,True,False,False
Tunisia,TUN,1.91971794659963,-1.8684609204116935,3.7881788670113234,0.0539331001596533,-1.2584374576726545,0.011285136676509492,0.13114754098360656,0.03278688524590164,False,False,False
Turkiye,TUR,5.858249329700561,2.1484975173529657,3.709751812347595,0.0389850283485465,1.4357483347529005,0.010452841287257654,0.13114754098360656,0.03278688524590164,False,False,False
Angola,AGO,2.2387382792284,-1.931762786512583,4.170501065740983,0.04560385237315411,-1.2953824192905021,0.01002256458824942,0.13114754098360656,0.03278688524590164,False,False,False
Kyrgyz Republic,KGZ,4.16462199673886,-1.406955440197308,5.571577436936168,0.07984831401651524,-0.9608579146975345,0.010014624753085694,0.13114754098360656,0.03278688524590164,False,False,False
Jamaica,JAM,0.694314997550578,-2.79191731882544,3.486232316376018,0.018156574911034267,-1.845822673772483,0.00787556382720748,0.13114754098360656,0.03278688524590164,False,False,False
Philippines,PHL,6.407696930712171,2.389340045746841,4.01835688496533,0.02061272310999753,1.5816459548058992,0.006581266456278236,0.13114754098360656,0.03278688524590164,False,False,False
Cote d'Ivoire,CIV,6.2573216224622,2.0064507162320053,4.250870906230195,0.02694947601816786,1.3325065214749816,0.0061470059589323195,0.13114754098360656,0.03278688524590164,False,False,False
Guinea,GIN,6.09049479132857,1.3332115578192134,4.757283233509357,0.05697768615850909,0.8993870442944046,0.006109224814087078,0.13114754098360656,0.03278688524590164,False,False,False
Russian Federation,RUS,2.0367886746282995,-1.1768232951055313,3.213611969733831,0.07071432059656674,-0.7997332931067965,0.006083569781001818,0.13114754098360656,0.03278688524590164,False,False,False
Cabo Verde,CPV,2.85964364829049,-1.3293500700800625,4.188993718370552,0.0534492940898067,-0.8951090803258767,0.005655357043176282,0.13114754098360656,0.03278688524590164,False,False,False
"Gambia, The",GMB,2.8765835328648595,-1.577340435037899,4.4539239679027585,0.038573714572909014,-1.0538431638106902,0.0055697724066788735,0.13114754098360656,0.03278688524590164,False,False,False
Lebanon,LBN,1.1839468557825599,-2.271379417430409,3.455326273212969,0.018814756396423587,-1.5021825884434281,0.005408826519516945,0.13114754098360656,0.03278688524590164,False,False,False
Dominican Republic,DOM,5.6403730058961905,2.014786617170048,3.6255863887261426,0.023624918039908988,1.3357625268133506,0.00539662384114926,0.13114754098360656,0.03278688524590164,False,False,False
Sweden,SWE,2.4971310846311803,1.2551292004676133,1.242001884163567,0.05171824029525807,0.8443612164515542,0.004860410042509207,0.13114754098360656,0.03278688524590164,False,False,False
Tajikistan,TJK,7.051930237481509,1.0874956628693253,5.964434574612183,0.06424419499337514,0.7364695757880909,0.004654692498012942,0.13114754098360656,0.03278688524590164,False,False,False
Bolivia,BOL,4.6466315277543,1.0160550393717065,3.6305764883825935,0.06357486137931483,0.6878428766537509,0.004015141536553367,0.13114754098360656,0.03278688524590164,False,False,False
Albania,ALB,2.5864272426442603,-1.739345784723184,4.325773027367444,0.022898672585172843,-1.1527222319110455,0.0038925128560753836,0.13114754098360656,0.03278688524590164,False,False,False
Malaysia,MYS,5.3502969507744,1.2063053862726134,4.143991564501786,0.044861709814508405,0.8085980338849915,0.0038387067924637833,0.13114754098360656,0.03278688524590164,False,False,False
Nepal,NPL,5.011087916890269,-0.8791408797578315,5.890228796648101,0.07725237277478277,-0.5995501947279795,0.003761750610380251,0.13114754098360656,0.03278688524590164,False,False,False
Viet Nam,VNM,6.57583355177369,0.7288866654092905,5.8469468863644,0.10328001656561694,0.5042432843895188,0.003660578373547524,0.13114754098360656,0.03278688524590164,False,False,False
New Zealand,NZL,2.9231014409622307,0.851077662244236,2.0720237787179947,0.0781365197224718,0.5806901087474383,0.003572615866926843,0.13114754098360656,0.03278688524590164,False,False,False
Bangladesh,BGD,6.608998697668789,1.0236329654216103,5.585365732247179,0.05336022276602986,0.6892240616788077,0.003347062016372595,0.13114754098360656,0.03278688524590164,False,False,False
Bahrain,BHR,3.5049132312724804,-0.6324903041363594,4.13740353540884,0.11147772208032639,-0.4395702112194537,0.0030303045957167933,0.13114754098360656,0.03278688524590164,False,False,False
Nicaragua,NIC,3.46619223096042,-1.3377777822215986,4.803970013182019,0.02804242985659365,-0.888932669595885,0.0028498111643761427,0.13114754098360656,0.03278688524590164,False,False,False
Mozambique,MOZ,5.66133105721986,-0.453369618390294,6.114700675610154,0.15826968763303753,-0.32372368221806613,0.0024631095852485126,0.13114754098360656,0.03278688524590164,True,False,False
