model,dataset,table_group,term,coefficient,robust_se_hc3,robust_t,p_value,stars,nobs,r_squared,adj_r_squared,aic,bic
re2_o,model_data4_o,ols_outlier_filtered,fertility,0.05206206064665654,0.21541176231871725,0.24168624817073342,0.8094652361962784,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_outlier_filtered,log_GDPpc2015,-0.5372951189959431,0.16664571521218202,-3.22417602103859,0.0016556153796754686,***,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_outlier_filtered,inf_def,0.0009695429080659873,0.052950029744247014,0.018310526221589657,0.9854237097211129,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_outlier_filtered,investment,0.09931249140668595,0.032555697605972045,3.0505410330530895,0.0028519993384121247,***,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_outlier_filtered,terms_trade_x_trade,-0.0022981700155431193,0.005661472632262478,-0.4059314889993044,0.6855674328853396,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_outlier_filtered,gov_exp_reduced,-0.1150683426982359,0.04632762597874692,-2.483795365448344,0.014479722965231069,**,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_outlier_filtered,log_cc_total_plus2,-0.13812863566199524,0.3183509363505837,-0.43388795159654,0.665204448766161,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_outlier_filtered,terms_trade,0.21428488926825695,0.45405901134880483,0.4719318060260781,0.6378936181926453,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re2_o,model_data4_o,ols_outlier_filtered,trade,0.008339585907025071,0.005398915284616498,1.5446780450116766,0.12524509173033443,,122,0.4696488577751201,0.42703135527490654,461.0352195789792,489.0754300263118
re3_o,model_data4_o,ols_outlier_filtered,const,6.146556741717635,2.1384806460271544,2.87426344172749,0.004839771247479615,***,122,0.46964179153193175,0.43209430774658175,459.03684506039576,484.27303446299504
re3_o,model_data4_o,ols_outlier_filtered,fertility,0.05107726919782017,0.2154300289638698,0.2370944730568942,0.8130128012263445,,122,0.46964179153193175,0.43209430774658175,459.03684506039576,484.27303446299504
re3_o,model_data4_o,ols_outlier_filtered,log_GDPpc2015,-0.5386070972914123,0.16799341093094713,-3.206120372856791,0.0017497687465063588,***,122,0.46964179153193175,0.43209430774658175,459.03684506039576,484.27303446299504
re3_o,model_data4_o,ols_outlier_filtered,investment,0.09922312855408635,0.03158093284696013,3.141868197336584,0.0021436793974124618,***,122,0.46964179153193175,0.43209430774658175,459.03684506039576,484.27303446299504
re3_o,model_data4_o,ols_outlier_filtered,terms_trade_x_trade,-0.0023093919131565114,0.005649040552315519,-0.40881135332085744,0.6834518479343237,,122,0.46964179153193175,0.43209430774658175,459.03684506039576,484.27303446299504
re3_o,model_data4_o,ols_outlier_filtered,gov_exp_reduced,-0.1152185372506159,0.04475732467042541,-2.5742945562327053,0.011337395677718874,**,122,0.46964179153193175,0.43209430774658175,459.03684506039576,484.27303446299504
re3_o,model_data4_o,ols_outlier_filtered,log_cc_total_plus2,-0.14042338240472318,0.3106640821784413,-0.4520103560734963,0.6521279816146677,,122,0.46964179153193175,0.43209430774658175,459.03684506039576,484.27303446299504
re3_o,model_data4_o,ols_outlier_filtered,terms_trade,0.21577593636682985,0.45467788103843765,0.47456879994694207,0.636010194775777,,122,0.46964179153193175,0.43209430774658175,459.03684506039576,484.27303446299504
re3_o,model_data4_o,ols_outlier_filtered,trade,0.008331915558287,0.005272798147753093,1.580169641395716,0.11686321093195486,,122,0.46964179153193175,0.43209430774658175,459.03684506039576,484.27303446299504
re4_o,model_data4_o,ols_outlier_filtered,const,6.597229485845697,1.4708260693757462,4.485390640815687,1.7459541297352254e-05,***,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_outlier_filtered,log_GDPpc2015,-0.5737431048407972,0.11651242731583548,-4.9243082309625725,2.885864664433881e-06,***,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_outlier_filtered,investment,0.09873305991672868,0.03130883832560646,3.153520385838723,0.0020623702396863567,***,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_outlier_filtered,terms_trade_x_trade,-0.002372717164810707,0.005563078147385992,-0.42651156463182377,0.6705394467645442,,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_outlier_filtered,gov_exp_reduced,-0.11434449326596455,0.04314269609304113,-2.6503789429239726,0.009182898319094412,***,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_outlier_filtered,log_cc_total_plus2,-0.14403963613596588,0.30546468926980613,-0.4715426731655415,0.6381544721878663,,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_outlier_filtered,terms_trade,0.22641490960527896,0.44072520401291526,0.5137326105784592,0.6084332575737568,,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re4_o,model_data4_o,ols_outlier_filtered,trade,0.008200891327676698,0.005163223584420397,1.5883277556335569,0.11498195715981052,,122,0.4691489715750339,0.4365528557945535,457.15015737803026,479.5823257358963
re5_o,model_data4_o,ols_outlier_filtered,const,6.615254795673517,1.4560288378296429,4.54335424120735,1.374766348558294e-05,***,122,0.4678646162065291,0.44010103096513065,455.44497098882783,475.0731183019606
re5_o,model_data4_o,ols_outlier_filtered,log_GDPpc2015,-0.5868217077692324,0.11910712413215838,-4.92683970035335,2.82844863164821e-06,***,122,0.4678646162065291,0.44010103096513065,455.44497098882783,475.0731183019606
re5_o,model_data4_o,ols_outlier_filtered,investment,0.0999422846098394,0.031496390279644265,3.173134563119472,0.00193460880824633,***,122,0.4678646162065291,0.44010103096513065,455.44497098882783,475.0731183019606
re5_o,model_data4_o,ols_outlier_filtered,terms_trade_x_trade,-0.002481644345277989,0.0054654543483158,-0.4540600263256644,0.6506414167331998,,122,0.4678646162065291,0.44010103096513065,455.44497098882783,475.0731183019606
re5_o,model_data4_o,ols_outlier_filtered,gov_exp_reduced,-0.11830851934214837,0.040436204814265374,-2.9258067092490996,0.0041405855607105435,***,122,0.4678646162065291,0.44010103096513065,455.44497098882783,475.0731183019606
re5_o,model_data4_o,ols_outlier_filtered,terms_trade,0.24495303386564865,0.4295241884701176,0.5702892652870707,0.5695940629764377,,122,0.4678646162065291,0.44010103096513065,455.44497098882783,475.0731183019606
re5_o,model_data4_o,ols_outlier_filtered,trade,0.008062515582706422,0.00518815661627482,1.5540231683474963,0.12292668046328856,,122,0.4678646162065291,0.44010103096513065,455.44497098882783,475.0731183019606
re6_o,model_data4_o,ols_outlier_filtered,const,6.648432220361661,1.4115218085251249,4.710116542448958,6.922632005980072e-06,***,122,0.4659523111041999,0.4429330141690361,453.88260966202995,470.7067359304295
re6_o,model_data4_o,ols_outlier_filtered,log_GDPpc2015,-0.5850375529937863,0.11948015065745796,-4.896525069432261,3.18480725148922e-06,***,122,0.4659523111041999,0.4429330141690361,453.88260966202995,470.7067359304295
re6_o,model_data4_o,ols_outlier_filtered,investment,0.09960632777753604,0.030683701419198607,3.246229208683831,0.0015289285303889837,***,122,0.4659523111041999,0.4429330141690361,453.88260966202995,470.7067359304295
re6_o,model_data4_o,ols_outlier_filtered,gov_exp_reduced,-0.11575477308546936,0.03802140164565658,-3.0444635935375293,0.0028847499082774895,***,122,0.4659523111041999,0.4429330141690361,453.88260966202995,470.7067359304295
re6_o,model_data4_o,ols_outlier_filtered,terms_trade,0.06755413182172136,0.13624075971566477,0.4958437692413578,0.620942780154254,,122,0.4659523111041999,0.4429330141690361,453.88260966202995,470.7067359304295
re6_o,model_data4_o,ols_outlier_filtered,trade,0.007375893895346276,0.004470522283995685,1.6498953425982734,0.10166965355575676,,122,0.4659523111041999,0.4429330141690361,453.88260966202995,470.7067359304295
re7_o,model_data4_o,ols_outlier_filtered,const,6.8145163009745335,1.3268121036987852,5.1360070366991275,1.1211406151230491e-06,***,123,0.46583734047081293,0.4477301316732134,455.2256327327435,469.2865545096056
re7_o,model_data4_o,ols_outlier_filtered,log_GDPpc2015,-0.6078075171688346,0.11123265058085592,-5.464290511777515,2.625928849849243e-07,***,123,0.46583734047081293,0.4477301316732134,455.2256327327435,469.2865545096056
re7_o,model_data4_o,ols_outlier_filtered,investment,0.10175230060805392,0.030311792586075668,3.356855267437924,0.0010614148729639172,***,123,0.46583734047081293,0.4477301316732134,455.2256327327435,469.2865545096056
re7_o,model_data4_o,ols_outlier_filtered,gov_exp_reduced,-0.11071890241839757,0.036289095728492704,-3.0510240113661924,0.0028173021176702393,***,123,0.46583734047081293,0.4477301316732134,455.2256327327435,469.2865545096056
re7_o,model_data4_o,ols_outlier_filtered,trade,0.006837822652994842,0.0043795316077235545,1.561313689558936,0.12112777217516489,,123,0.46583734047081293,0.4477301316732134,455.2256327327435,469.2865545096056
